year,numcontinents,numcountries,numvenues,numcircuits,numraces,numyears,numdrivers,numconstructors
1977,5,16,17,17,17,1,61,21
1978,4,15,16,16,16,1,46,19
1979,4,14,15,15,15,1,36,19
1980,4,13,14,14,14,1,41,15
1981,3,13,15,15,15,1,39,17
1982,4,12,16,16,16,1,40,17
1983,4,12,15,15,15,1,35,16
1984,4,13,16,16,16,1,35,15
1985,5,14,16,16,16,1,36,17
1986,4,15,16,16,16,1,32,14
1987,5,15,16,16,16,1,32,16
1988,5,15,16,16,16,1,36,18
1989,5,15,16,16,16,1,47,20
1990,5,15,16,16,16,1,40,19
1991,5,15,16,16,16,1,41,19
1992,6,15,16,16,16,1,37,16
1993,6,14,16,16,16,1,35,13
1994,5,13,16,16,16,1,46,14
1995,5,14,17,17,17,1,35,13
1996,5,14,16,16,16,1,24,11
1997,5,14,17,17,17,1,28,12
1998,5,14,16,16,16,1,23,11
1999,5,14,16,16,16,1,24,11
2000,5,15,17,17,17,1,23,11
2001,5,15,17,17,17,1,26,11
2002,5,15,17,17,17,1,23,11
2003,5,14,16,16,16,1,24,10
2004,5,16,18,18,18,1,25,10
2005,5,17,19,19,19,1,27,10
2006,5,16,18,18,18,1,27,12
2007,5,17,17,17,17,1,26,11
2008,5,17,18,18,18,1,22,11
2009,4,16,17,17,17,1,25,10
2010,5,18,19,19,19,1,27,12
2011,5,18,19,19,19,1,28,12
2012,5,19,20,20,20,1,25,12
2013,5,19,19,19,19,1,23,11
2014,5,19,19,19,19,1,24,11
2015,5,19,19,19,19,1,22,10
2016,5,21,21,21,21,1,24,11
2017,5,20,20,20,20,1,25,10
2018,4,15,15,15,15,1,20,10
