driverId,firstRace,lastRace,numchamps
1,2007-03-18,2018-09-16,5
2,2000-03-12,2011-07-31,0
3,2006-03-12,2016-11-27,1
4,2001-03-04,2018-09-16,2
5,2007-03-18,2013-11-24,0
6,2007-10-21,2009-11-01,0
7,2008-03-16,2009-07-12,0
8,2001-03-04,2018-09-16,1
9,2006-08-06,2010-11-14,0
10,2004-06-13,2012-11-25,0
11,2002-03-03,2008-04-27,0
12,2008-03-16,2009-07-26,0
13,2002-03-03,2017-11-26,0
14,1994-05-29,2008-11-02,0
15,1997-03-09,2011-11-27,0
16,2007-03-18,2014-11-23,0
17,2002-03-03,2013-11-24,0
18,2000-03-12,2017-05-28,1
19,2002-08-18,2008-04-27,0
20,2007-06-17,2018-09-16,4
21,1996-03-10,2009-11-01,0
22,1993-03-14,2011-11-27,0
23,1997-03-09,2007-10-21,0
24,2005-04-24,2011-11-27,0
25,1997-06-15,2007-10-07,0
26,2006-03-12,2007-07-22,0
27,2005-03-06,2007-07-08,0
28,2007-07-22,2007-07-22,0
29,2006-07-30,2010-10-24,0
30,1991-08-25,2012-11-25,7
31,2001-03-04,2006-07-02,0
32,2004-03-07,2010-11-14,0
33,2005-03-06,2006-10-22,0
34,2006-03-12,2006-04-23,0
35,1996-03-10,2006-07-30,1
36,2006-05-07,2006-07-16,0
37,1999-03-07,2012-11-25,0
38,2005-07-24,2006-10-22,0
39,2005-03-06,2012-11-25,0
40,2005-03-06,2005-07-10,0
41,1999-03-07,2005-06-19,0
42,2003-03-09,2005-10-16,0
43,2003-03-09,2004-07-25,0
44,1994-03-27,2004-10-10,0
45,2004-03-07,2004-09-12,0
46,2004-03-07,2004-10-24,0
47,2003-08-24,2004-10-24,0
48,1999-03-07,2004-07-11,0
49,1994-03-27,2003-10-12,0
50,1994-03-27,2003-10-12,0
51,2003-03-09,2003-10-12,0
52,2003-03-09,2003-10-12,0
53,2003-08-03,2003-10-12,0
54,2000-07-16,2001-09-02,0
55,1989-07-09,2001-10-14,0
56,1993-10-24,2002-10-13,0
57,1991-03-10,2001-10-14,2
58,1996-03-31,2001-09-02,0
59,2001-03-04,2002-07-28,0
60,2000-03-12,2001-04-15,0
61,2001-09-16,2001-10-14,0
62,2001-09-16,2002-10-13,0
63,1994-11-06,2002-10-13,0
