year,era,engine_processed,naturally_aspirated,super_or_turbo_charged,revolution_limit,revolution_limit_processed,cylinders,cylinders_processed,alcohol,alcohol_processed,gasoline,gasoline_processed
1947,1,6,4.5,1.5,UNRESTRICTED,10,UNRESTRICTED,12,UNRESTRICTED,10,UNRESTRICTED,3
1948,1,6,4.5,1.5,UNRESTRICTED,10,UNRESTRICTED,12,UNRESTRICTED,10,UNRESTRICTED,3
1949,1,6,4.5,1.5,UNRESTRICTED,10,UNRESTRICTED,12,UNRESTRICTED,10,UNRESTRICTED,3
1950,1,6,4.5,1.5,UNRESTRICTED,10,UNRESTRICTED,12,UNRESTRICTED,10,UNRESTRICTED,3
1951,2,6,4.5,1.5,UNRESTRICTED,10,UNRESTRICTED,12,UNRESTRICTED,10,UNRESTRICTED,3
1952,2,6,4.5,1.5,UNRESTRICTED,10,UNRESTRICTED,12,UNRESTRICTED,10,UNRESTRICTED,3
1953,2,6,4.5,1.5,UNRESTRICTED,10,UNRESTRICTED,12,UNRESTRICTED,10,UNRESTRICTED,3
1954,2,3.25,2.5,0.75,UNRESTRICTED,10,UNRESTRICTED,12,UNRESTRICTED,10,UNRESTRICTED,3
1955,2,3.25,2.5,0.75,UNRESTRICTED,10,UNRESTRICTED,12,UNRESTRICTED,10,UNRESTRICTED,3
1956,2,3.25,2.5,0.75,UNRESTRICTED,10,UNRESTRICTED,12,UNRESTRICTED,10,UNRESTRICTED,3
1957,2,3.25,2.5,0.75,UNRESTRICTED,10,UNRESTRICTED,12,UNRESTRICTED,10,UNRESTRICTED,3
1958,3,3.25,2.5,0.75,UNRESTRICTED,10,UNRESTRICTED,12,PROHIBITED,1,UNRESTRICTED,3
1959,3,3.25,2.5,0.75,UNRESTRICTED,10,UNRESTRICTED,12,PROHIBITED,1,UNRESTRICTED,3
1960,3,3.25,2.5,0.75,UNRESTRICTED,10,UNRESTRICTED,12,PROHIBITED,1,UNRESTRICTED,3
1961,3,1.5,1.5,PROHIBITED,UNRESTRICTED,10,UNRESTRICTED,12,PROHIBITED,1,UNRESTRICTED,3
1962,4,1.5,1.5,PROHIBITED,UNRESTRICTED,10,UNRESTRICTED,12,PROHIBITED,1,UNRESTRICTED,3
1963,4,1.5,1.5,PROHIBITED,UNRESTRICTED,10,UNRESTRICTED,12,PROHIBITED,1,PUMPED,2
