era,year,date,time,location,country,raceId,round,circuitRef,grand_prix_title,grand_prix_name,driverId,constructorId,position
2008,2008,2008-03-16,04:30:00,Melbourne,Australia,18,1,albert_park,Australian Grand Prix,Albert Park Grand Prix Circuit,1,1,1
2008,2008,2008-03-16,04:30:00,Melbourne,Australia,18,1,albert_park,Australian Grand Prix,Albert Park Grand Prix Circuit,2,2,2
2008,2008,2008-03-16,04:30:00,Melbourne,Australia,18,1,albert_park,Australian Grand Prix,Albert Park Grand Prix Circuit,3,3,3
2008,2008,2008-03-16,04:30:00,Melbourne,Australia,18,1,albert_park,Australian Grand Prix,Albert Park Grand Prix Circuit,4,4,4
2008,2008,2008-03-16,04:30:00,Melbourne,Australia,18,1,albert_park,Australian Grand Prix,Albert Park Grand Prix Circuit,5,1,5
2008,2008,2008-03-23,07:00:00,Kuala Lumpur,Malaysia,19,2,sepang,Malaysian Grand Prix,Sepang International Circuit,8,6,1
2008,2008,2008-03-23,07:00:00,Kuala Lumpur,Malaysia,19,2,sepang,Malaysian Grand Prix,Sepang International Circuit,9,2,2
2008,2008,2008-03-23,07:00:00,Kuala Lumpur,Malaysia,19,2,sepang,Malaysian Grand Prix,Sepang International Circuit,5,1,3
2008,2008,2008-03-23,07:00:00,Kuala Lumpur,Malaysia,19,2,sepang,Malaysian Grand Prix,Sepang International Circuit,15,7,4
2008,2008,2008-03-23,07:00:00,Kuala Lumpur,Malaysia,19,2,sepang,Malaysian Grand Prix,Sepang International Circuit,1,1,5
2008,2008,2008-04-06,11:30:00,Sakhir,Bahrain,20,3,bahrain,Bahrain Grand Prix,Bahrain International Circuit,13,6,1
2008,2008,2008-04-06,11:30:00,Sakhir,Bahrain,20,3,bahrain,Bahrain Grand Prix,Bahrain International Circuit,8,6,2
2008,2008,2008-04-06,11:30:00,Sakhir,Bahrain,20,3,bahrain,Bahrain Grand Prix,Bahrain International Circuit,9,2,3
2008,2008,2008-04-06,11:30:00,Sakhir,Bahrain,20,3,bahrain,Bahrain Grand Prix,Bahrain International Circuit,2,2,4
2008,2008,2008-04-06,11:30:00,Sakhir,Bahrain,20,3,bahrain,Bahrain Grand Prix,Bahrain International Circuit,5,1,5
2008,2008,2008-04-27,12:00:00,Montmeló,Spain,21,4,catalunya,Spanish Grand Prix,Circuit de Barcelona-Catalunya,8,6,1
2008,2008,2008-04-27,12:00:00,Montmeló,Spain,21,4,catalunya,Spanish Grand Prix,Circuit de Barcelona-Catalunya,13,6,2
2008,2008,2008-04-27,12:00:00,Montmeló,Spain,21,4,catalunya,Spanish Grand Prix,Circuit de Barcelona-Catalunya,1,1,3
