year,era,engine_processed,naturally_aspirated_processed,naturally_aspirated,super_or_turbo_charged_processed,super_or_turbo_charged,revolution_limit,revolution_limit_processed,cylinders,cylinders_processed,alcohol,alcohol_processed,gasoline,gasoline_processed,overall_processed
1947,1,6,10,4.5,10,1.5,UNRESTRICTED,10,UNRESTRICTED,10,UNRESTRICTED,10,UNRESTRICTED,10,9
1948,1,6,10,4.5,10,1.5,UNRESTRICTED,10,UNRESTRICTED,10,UNRESTRICTED,10,UNRESTRICTED,10,9
1949,1,6,10,4.5,10,1.5,UNRESTRICTED,10,UNRESTRICTED,10,UNRESTRICTED,10,UNRESTRICTED,10,9
1950,1,6,10,4.5,10,1.5,UNRESTRICTED,10,UNRESTRICTED,10,UNRESTRICTED,10,UNRESTRICTED,10,9
1951,2,6,10,4.5,10,1.5,UNRESTRICTED,10,UNRESTRICTED,10,UNRESTRICTED,10,UNRESTRICTED,10,9
1952,2,6,10,4.5,10,1.5,UNRESTRICTED,10,UNRESTRICTED,10,UNRESTRICTED,10,UNRESTRICTED,10,9
1953,2,6,10,4.5,10,1.5,UNRESTRICTED,10,UNRESTRICTED,10,UNRESTRICTED,10,UNRESTRICTED,10,9
1954,2,3.25,5,2.5,5,0.75,UNRESTRICTED,10,UNRESTRICTED,10,UNRESTRICTED,10,UNRESTRICTED,10,7
1955,2,3.25,5,2.5,5,0.75,UNRESTRICTED,10,UNRESTRICTED,10,UNRESTRICTED,10,UNRESTRICTED,10,7
1956,2,3.25,5,2.5,5,0.75,UNRESTRICTED,10,UNRESTRICTED,10,UNRESTRICTED,10,UNRESTRICTED,10,7
1957,2,3.25,5,2.5,5,0.75,UNRESTRICTED,10,UNRESTRICTED,10,UNRESTRICTED,10,UNRESTRICTED,10,7
1958,3,3.25,5,2.5,5,0.75,UNRESTRICTED,10,UNRESTRICTED,10,PROHIBITED,0,UNRESTRICTED,10,6
1959,3,3.25,5,2.5,5,0.75,UNRESTRICTED,10,UNRESTRICTED,10,PROHIBITED,0,UNRESTRICTED,10,6
1960,3,3.25,5,2.5,5,0.75,UNRESTRICTED,10,UNRESTRICTED,10,PROHIBITED,0,UNRESTRICTED,10,6
1961,3,1.5,3,1.5,0,PROHIBITED,UNRESTRICTED,10,UNRESTRICTED,10,PROHIBITED,0,UNRESTRICTED,10,4
1962,4,1.5,3,1.5,0,PROHIBITED,UNRESTRICTED,10,UNRESTRICTED,10,PROHIBITED,0,UNRESTRICTED,10,4
1963,4,1.5,3,1.5,0,PROHIBITED,UNRESTRICTED,10,UNRESTRICTED,10,PROHIBITED,0,PUMPED,0,3
1964,4,1.5,3,1.5,0,PROHIBITED,UNRESTRICTED,10,UNRESTRICTED,10,PROHIBITED,0,PUMPED,0,3
1965,4,1.5,3,1.5,0,PROHIBITED,UNRESTRICTED,10,UNRESTRICTED,10,PROHIBITED,0,PUMPED,0,3
1966,4,4.5,7,3,10,1.5,UNRESTRICTED,10,UNRESTRICTED,10,PROHIBITED,0,UNRESTRICTED,10,7
1967,4,4.5,7,3,10,1.5,UNRESTRICTED,10,UNRESTRICTED,10,PROHIBITED,0,UNRESTRICTED,10,7
1968,5,4.5,7,3,10,1.5,UNRESTRICTED,10,UNRESTRICTED,10,PROHIBITED,0,UNRESTRICTED,10,7
1969,5,4.5,7,3,10,1.5,UNRESTRICTED,10,UNRESTRICTED,10,PROHIBITED,0,UNRESTRICTED,10,7
1970,5,4.5,7,3,10,1.5,UNRESTRICTED,10,UNRESTRICTED,10,PROHIBITED,0,UNRESTRICTED,10,7
1971,5,4.5,7,3,10,1.5,UNRESTRICTED,10,UNRESTRICTED,10,PROHIBITED,0,UNRESTRICTED,10,7
1972,5,4.5,7,3,10,1.5,UNRESTRICTED,10,UNRESTRICTED,10,PROHIBITED,0,UNRESTRICTED,10,7
1973,5,4.5,7,3,10,1.5,UNRESTRICTED,10,UNRESTRICTED,10,PROHIBITED,0,UNRESTRICTED,10,7
1974,5,4.5,7,3,10,1.5,UNRESTRICTED,10,UNRESTRICTED,10,PROHIBITED,0,UNRESTRICTED,10,7
1975,5,4.5,7,3,10,1.5,UNRESTRICTED,10,UNRESTRICTED,10,PROHIBITED,0,UNRESTRICTED,10,7
1976,5,4.5,7,3,10,1.5,UNRESTRICTED,10,UNRESTRICTED,10,PROHIBITED,0,UNRESTRICTED,10,7
1977,6,4.5,7,3,10,1.5,UNRESTRICTED,10,UNRESTRICTED,10,PROHIBITED,0,UNRESTRICTED,10,7
1978,6,4.5,7,3,10,1.5,UNRESTRICTED,10,UNRESTRICTED,10,PROHIBITED,0,UNRESTRICTED,10,7
1979,6,4.5,7,3,10,1.5,UNRESTRICTED,10,UNRESTRICTED,10,PROHIBITED,0,UNRESTRICTED,10,7
1980,6,4.5,7,3,10,1.5,UNRESTRICTED,10,UNRESTRICTED,10,PROHIBITED,0,UNRESTRICTED,10,7
1981,6,4.5,7,3,10,1.5,UNRESTRICTED,10,UNRESTRICTED,10,PROHIBITED,0,UNRESTRICTED,10,7
1982,6,4.5,7,3,10,1.5,UNRESTRICTED,10,UNRESTRICTED,10,PROHIBITED,0,UNRESTRICTED,10,7
1983,7,4.5,7,3,10,1.5,UNRESTRICTED,10,UNRESTRICTED,10,PROHIBITED,0,UNRESTRICTED,10,7
1984,7,4.5,7,3,10,1.5,UNRESTRICTED,10,UNRESTRICTED,10,PROHIBITED,0,UNRESTRICTED,10,7
1985,7,4.5,7,3,10,1.5,UNRESTRICTED,10,UNRESTRICTED,10,PROHIBITED,0,UNRESTRICTED,10,7
1986,7,1.5,0,PROHIBITED,10,1.5,UNRESTRICTED,10,UNRESTRICTED,10,PROHIBITED,0,UNRESTRICTED,10,5
1987,7,5,9,3.5,10,1.5,UNRESTRICTED,10,UNRESTRICTED,10,PROHIBITED,0,UNRESTRICTED,10,7
1988,7,5,9,3.5,10,1.5,UNRESTRICTED,10,UNRESTRICTED,10,PROHIBITED,0,UNRESTRICTED,10,7
1989,8,3.5,9,3.5,1,PROHIBITED,UNRESTRICTED,10,upto 12,7,PROHIBITED,0,UNRESTRICTED,10,5
1990,8,3.5,9,3.5,1,PROHIBITED,UNRESTRICTED,10,upto 12,7,PROHIBITED,0,UNRESTRICTED,10,5
1991,8,3.5,9,3.5,1,PROHIBITED,UNRESTRICTED,10,upto 12,7,PROHIBITED,0,UNRESTRICTED,10,5
1992,8,3.5,9,3.5,1,PROHIBITED,UNRESTRICTED,10,upto 12,7,PROHIBITED,0,UNLEADED,5,5
1993,8,3.5,9,3.5,1,PROHIBITED,UNRESTRICTED,10,upto 12,7,PROHIBITED,0,UNLEADED,5,5
1994,9,3.5,9,3.5,1,PROHIBITED,UNRESTRICTED,10,upto 12,7,PROHIBITED,0,UNLEADED,5,5
1995,10,3,7,3,1,PROHIBITED,UNRESTRICTED,10,upto 12,7,PROHIBITED,0,UNLEADED,5,4
